Tid,Avstand,X,Y,Z,Error,Power,uP,uI,uD
461,332,14,2,1020,32,65535,0,0,0
462,331,15,6,1058,31,65535,0,0,0
463,316,24,24,1051,16,65535,0,0,0
464,311,15,36,1069,11,65535,0,0,0
465,311,14,26,1062,11,65535,0,0,0
466,312,13,65535,1053,12,65535,0,0,0
467,298,7,65535,1037,-2,65535,0,0,0
468,295,5,65526,1032,-5,65535,0,0,0
469,296,7,65521,1013,-4,65535,0,0,0
470,296,11,65527,1011,-4,65535,0,0,0
471,290,11,65535,1015,-10,65535,0,0,0
472,289,13,4,1014,-11,65535,0,0,0
473,289,15,5,1017,-11,65535,0,0,0
474,289,14,5,1016,-11,65535,0,0,0
475,285,16,5,1020,-15,65535,0,0,0
476,284,15,5,1021,-16,65535,0,0,0
477,284,17,6,1021,-16,65535,0,0,0
478,285,14,11,1019,-15,65535,0,0,0
479,286,14,10,1016,-14,65535,0,0,0
480,286,11,9,1019,-14,65535,0,0,0
481,287,17,10,1054,-13,65535,0,0,0
482,287,17,8,1102,-13,65535,0,0,0
483,295,13,1,1120,-5,65535,0,0,0
484,296,13,65534,1123,-4,65535,0,0,0
485,297,10,3,1116,-3,65535,0,0,0
486,296,10,7,1101,-4,65535,0,0,0
487,300,12,11,1091,0,65535,0,0,0
488,303,12,11,1084,3,65535,0,0,0
489,303,14,13,1072,3,65535,0,0,0
490,302,16,13,1057,2,65535,0,0,0
491,302,15,11,1045,2,65535,0,0,0
492,302,15,9,1036,2,65535,0,0,0
493,303,15,7,1029,3,65535,0,0,0
494,302,15,6,1025,2,65535,0,0,0
495,299,15,5,1022,-1,65535,0,0,0
496,299,15,4,1019,-1,65535,0,0,0
497,299,15,3,1017,-1,65535,0,0,0
498,300,15,2,1018,0,65535,0,0,0
499,299,15,2,1018,-1,65535,0,0,0
500,299,15,2,1019,-1,65535,0,0,0
501,299,15,3,1020,-1,65535,0,0,0
502,299,14,3,1020,-1,65535,0,0,0
503,299,14,4,1020,-1,65535,0,0,0
504,299,16,4,1020,-1,65535,0,0,0
505,299,16,4,1020,-1,65535,0,0,0
506,300,16,4,1020,0,65535,0,0,0
507,302,15,4,1018,2,65535,0,0,0
508,302,14,4,1017,2,65535,0,0,0
509,302,14,4,1017,2,65535,0,0,0
510,302,14,4,1017,2,65535,0,0,0
511,298,14,4,1016,-2,65535,0,0,0
512,300,15,4,1016,0,65535,0,0,0
513,299,15,4,1016,-1,65535,0,0,0
514,299,16,4,1016,-1,65535,0,0,0
515,299,16,4,1015,-1,65535,0,0,0
516,299,16,4,1015,-1,65535,0,0,0
517,299,16,4,1015,-1,65535,0,0,0
518,299,16,4,1016,-1,65535,0,0,0
519,299,16,4,1016,-1,65535,0,0,0
520,299,16,4,1017,-1,65535,0,0,0
521,299,15,4,1017,-1,65535,0,0,0
522,299,15,4,1018,-1,65535,0,0,0
523,298,15,4,1019,-2,65535,0,0,0
524,299,16,4,1019,-1,65535,0,0,0
525,299,16,3,1019,-1,65535,0,0,0
526,299,16,4,1020,-1,65535,0,0,0
527,299,15,5,1020,-1,65535,0,0,0
528,299,15,5,1017,-1,65535,0,0,0
529,299,15,4,1017,-1,65535,0,0,0
530,299,15,3,1017,-1,65535,0,0,0
531,299,16,3,1018,-1,65535,0,0,0
532,299,15,3,1017,-1,65535,0,0,0
533,299,14,2,1017,-1,65535,0,0,0
534,299,14,1,1017,-1,65535,0,0,0
535,299,13,1,1016,-1,65535,0,0,0
536,299,14,1,1016,-1,65535,0,0,0
537,299,14,1,1017,-1,65535,0,0,0
538,300,14,1,1018,0,65535,0,0,0
539,303,14,1,1018,3,65535,0,0,0
540,303,14,1,1018,3,65535,0,0,0
541,303,14,1,1018,3,65535,0,0,0
542,302,15,2,1018,2,65535,0,0,0
543,299,15,3,1018,-1,65535,0,0,0
544,300,15,3,1018,0,65535,0,0,0
545,300,14,3,1019,0,65535,0,0,0
546,299,14,3,1019,-1,65535,0,0,0
547,300,14,3,1019,0,65535,0,0,0
548,300,14,3,1019,0,65535,0,0,0
549,300,15,3,1018,0,65535,0,0,0
550,300,15,3,1018,0,65535,0,0,0
551,299,15,3,1019,-1,65535,0,0,0
552,300,15,2,1019,0,65535,0,0,0
553,300,15,2,1018,0,65535,0,0,0
554,300,15,2,1018,0,65535,0,0,0
555,299,15,2,1018,-1,65535,0,0,0
556,300,14,2,1018,0,65535,0,0,0
557,300,14,3,1018,0,65535,0,0,0
558,299,14,3,1018,-1,65535,0,0,0
559,300,14,2,1017,0,65535,0,0,0
560,300,13,2,1016,0,65535,0,0,0
561,300,13,2,1015,0,65535,0,0,0
562,299,13,2,1016,-1,65535,0,0,0
563,299,14,2,1017,-1,65535,0,0,0
564,300,14,2,1017,0,65535,0,0,0
565,299,14,3,1017,-1,65535,0,0,0
566,299,14,3,1018,-1,65535,0,0,0
567,299,14,3,1018,-1,65535,0,0,0
568,300,14,3,1018,0,65535,0,0,0
569,300,14,3,1018,0,65535,0,0,0
570,299,14,3,1019,-1,65535,0,0,0
571,300,14,3,1020,0,65535,0,0,0
572,300,14,4,1020,0,65535,0,0,0
573,300,14,4,1021,0,65535,0,0,0
574,299,14,4,1021,-1,65535,0,0,0
575,299,14,4,1021,-1,65535,0,0,0
576,300,14,4,1021,0,65535,0,0,0
577,300,14,4,1020,0,65535,0,0,0
578,302,14,4,1018,2,65535,0,0,0
579,303,14,4,1018,3,65535,0,0,0
580,303,14,3,1018,3,65535,0,0,0
581,303,14,3,1019,3,65535,0,0,0
582,301,15,3,1020,1,65535,0,0,0
583,299,16,3,1020,-1,65535,0,0,0
